team,name,number,position,url,mugshot
Alaska,BenedictAdamos,#18,C,https://www.pba.ph/players/benedict-adamos,https://dashboard.pba.ph/assets/players/ala-Adamos2021.png
Alaska,MaverickAhanmisi,#13,G,https://www.pba.ph/players/maverick-ahanmisi,https://dashboard.pba.ph/assets/players/ala_Ahanmisi2020.png
Alaska,OluseyiAshaolu,#0,G,https://www.pba.ph/players/oluseyi-ashaolu,https://dashboard.pba.ph/assets/players/nlx-ashaolu18.png
Alaska,RodneyBrondial,#91,F,https://www.pba.ph/players/rodney-brondial,https://dashboard.pba.ph/assets/players/ala-Brondial2020.png
Alaska,MichaelDigregorio,#3,G,https://www.pba.ph/players/michael-digregorio,https://dashboard.pba.ph/assets/players/ala-DiGregorio12020.png
Alaska,RobertHerndon,#1,G,https://www.pba.ph/players/robert-herndon,https://dashboard.pba.ph/assets/players/ala-Herndon2020.png
Alaska,RegileKentIlagan,#0,PG,https://www.pba.ph/players/regile-kent-ilagan,https://dashboard.pba.ph/assets/players/ala-Ilagan2021.png
Alaska,JayceeMarcelino,#19,G,https://www.pba.ph/players/jaycee-marcelino,https://dashboard.pba.ph/assets/players/ala-Marcelino2020.png
Alaska,ReynaldoPublico,#31,C,https://www.pba.ph/players/reynaldo-publico,https://dashboard.pba.ph/assets/players/ala-Publico2021.png
Alaska,KevinRacal,#61,F,https://www.pba.ph/players/kevin-racal,https://dashboard.pba.ph/assets/players/ala-Racal2020.png
Alaska,AlecStockton,#20,F/G,https://www.pba.ph/players/alec-stockton,https://dashboard.pba.ph/assets/players/noimage.png
Alaska,YousefTaha,#55,C,https://www.pba.ph/players/yousef-taha,https://dashboard.pba.ph/assets/players/ala-Taha2021.png
Alaska,JeronTeng,#21,G,https://www.pba.ph/players/jeron-teng,https://dashboard.pba.ph/assets/players/ala-Teng2020.png
Alaska,MikeTolomia,#13,G,https://www.pba.ph/players/mike-tolomia,https://dashboard.pba.ph/assets/players/bwe-Tolomia2021.png
Alaska,AbuTratter,#2,F,https://www.pba.ph/players/abu-tratter,https://dashboard.pba.ph/assets/players/ala-Tratter2020.png
Barangay Ginebra San Miguel,JapethAguilar,#25,F,https://www.pba.ph/players/japeth-aguilar,https://dashboard.pba.ph/assets/players/gin-Aguilar_J2020.png
Barangay Ginebra San Miguel,RaymondAguilar,#23,F,https://www.pba.ph/players/raymond-aguilar,https://dashboard.pba.ph/assets/players/gin-Aguilar_R2020.png
Barangay Ginebra San Miguel,MerJesperAyaay,#50,G,https://www.pba.ph/players/mer-jesper-ayaay,https://dashboard.pba.ph/assets/players/gin-Ayaay2021.png
Barangay Ginebra San Miguel,JustinBrownlee,#32,F,https://www.pba.ph/players/justin-brownlee,https://dashboard.pba.ph/assets/players/ginBrownlee.png
Barangay Ginebra San Miguel,MarkCaguioa,#47,G,https://www.pba.ph/players/mark-caguioa,https://dashboard.pba.ph/assets/players/gin-Caguioa2020.png
Barangay Ginebra San Miguel,PrinceCaperal,#12,C,https://www.pba.ph/players/prince-caperal,https://dashboard.pba.ph/assets/players/gin-Caperal2020b.png
Barangay Ginebra San Miguel,JeffChan,#16,G,https://www.pba.ph/players/jeff-chan,https://dashboard.pba.ph/assets/players/gin-Chan2020.png
Barangay Ginebra San Miguel,JoeDevance,#38,F,https://www.pba.ph/players/joe-devance,https://dashboard.pba.ph/assets/players/gin-Devance2020.png
Barangay Ginebra San Miguel,JaredDillinger,#2,F,https://www.pba.ph/players/jared-dillinger,https://dashboard.pba.ph/assets/players/gin-Dillinger2020.png
Barangay Ginebra San Miguel,BrianEnriquez,#14,C/F,https://www.pba.ph/players/brian-enriquez,https://dashboard.pba.ph/assets/players/gin-Enriquez2021.png
Barangay Ginebra San Miguel,SidneyOnwubere,#7,F,https://www.pba.ph/players/sidney-onwubere,https://dashboard.pba.ph/assets/players/Onwubere.png
Barangay Ginebra San Miguel,StanleyJr.Pringle,#11,G,https://www.pba.ph/players/stanley-jr.-pringle,https://dashboard.pba.ph/assets/players/gin-Pringle2020b.png
Barangay Ginebra San Miguel,KentSalado,#3,G,https://www.pba.ph/players/kent-salado,https://dashboard.pba.ph/assets/players/gin-salado2021.png
Barangay Ginebra San Miguel,ChristianStandhardinger,#34,C/F,https://www.pba.ph/players/christian-standhardinger,https://dashboard.pba.ph/assets/players/Gin-standhardinger2021.png
Barangay Ginebra San Miguel,LewisAlfredTenorio,#5,G,https://www.pba.ph/players/lewis-alfred-tenorio,https://dashboard.pba.ph/assets/players/gin-Tenorio2020b.png
Barangay Ginebra San Miguel,ScottieThompson,#6,G,https://www.pba.ph/players/scottie-thompson,https://dashboard.pba.ph/assets/players/gin-Thompson2020.png
Barangay Ginebra San Miguel,ArvinTolentino,#10,F,https://www.pba.ph/players/arvin-tolentino,https://dashboard.pba.ph/assets/players/gin-Tolentino2020.png
Blackwater Elite,BaserAmer,#14,G,https://www.pba.ph/players/baser-amer,https://dashboard.pba.ph/assets/players/bwe-Amer2021.png
Blackwater Elite,JaylenBond,#4,C,https://www.pba.ph/players/jaylen-bond,https://dashboard.pba.ph/assets/players/noimage.png
Blackwater Elite,PaulDesiderio,#18,G,https://www.pba.ph/players/paul-desiderio,https://dashboard.pba.ph/assets/players/bwe-Desiderio2021.png
Blackwater Elite,KevinBarkleyEbona,#8,C,https://www.pba.ph/players/kevin-barkley-ebona,https://dashboard.pba.ph/assets/players/ala-Ebona2020.png
Blackwater Elite,RichardEscoto,#23,F/G,https://www.pba.ph/players/richard-escoto,https://dashboard.pba.ph/assets/players/bwe-Escoto2021.png
Blackwater Elite,JonJonGabriel,#6,C,https://www.pba.ph/players/jon-jon-gabriel,https://dashboard.pba.ph/assets/players/bwe-Gabriel2020.png
Blackwater Elite,WilliamMcAloney,#20,C,https://www.pba.ph/players/william-mcaloney,https://dashboard.pba.ph/assets/players/nlx-McAloney2020.png
Blackwater Elite,RashawnMcCarthy,#11,G,https://www.pba.ph/players/rashawn-mccarthy,https://dashboard.pba.ph/assets/players/tfd-McCarthy2020.png
Blackwater Elite,JustinMelton,#2,G,https://www.pba.ph/players/justin-melton,https://dashboard.pba.ph/assets/players/mag-Melton2021.png
Blackwater Elite,KellyNabong,#33,F,https://www.pba.ph/players/kelly-nabong,https://dashboard.pba.ph/assets/players/bwe-Nabong2021.png
Blackwater Elite,AndreParas,#1,C/F,https://www.pba.ph/players/andre-paras,https://dashboard.pba.ph/assets/players/bwe-Paras2021.png
Blackwater Elite,JoshuaTorralba,#15,G,https://www.pba.ph/players/joshua-torralba,https://dashboard.pba.ph/assets/players/bwe-Torralba2021.png
Blackwater Elite,JayWashington,#0,F,https://www.pba.ph/players/jay-washington,https://dashboard.pba.ph/assets/players/tnt-Washington2020.png
North Port Batang Pier,JerrickBalanza,#6,G,https://www.pba.ph/players/jerrick-balanza,https://dashboard.pba.ph/assets/players/nor-Balanza2021.png
North Port Batang Pier,RobertJr.Bolick,#8,G,https://www.pba.ph/players/robert-jr.-bolick,https://dashboard.pba.ph/assets/players/nor-Bolick2020.png
North Port Batang Pier,ArtDelaCruz,#18,F,https://www.pba.ph/players/art-dela-cruz,https://dashboard.pba.ph/assets/players/gin-Dela_Cruz2020.png
North Port Batang Pier,ClintDoliguez,#11,F/G,https://www.pba.ph/players/clint-doliguez,https://dashboard.pba.ph/assets/players/nor-Dolliguez2021.png
North Port Batang Pier,JuanNicholasElorde,#9,G,https://www.pba.ph/players/juan-nicholas-elorde,https://dashboard.pba.ph/assets/players/nor-Elorde2020.png
North Port Batang Pier,KevinFerrer,#77,SG,https://www.pba.ph/players/kevin-ferrer,https://dashboard.pba.ph/assets/players/nor-Ferrer2020.png
North Port Batang Pier,CameronForte,#10,F,https://www.pba.ph/players/cameron-forte,https://dashboard.pba.ph/assets/players/noimage.png
North Port Batang Pier,JonathanGrey,#14,G,https://www.pba.ph/players/jonathan-grey,https://dashboard.pba.ph/assets/players/nor-Grey2020.png
North Port Batang Pier,GarvoLanete,#13,G,https://www.pba.ph/players/garvo-lanete,https://dashboard.pba.ph/assets/players/nor-Lanete2020.png
